,compartment,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,tissue_in_publication
0,epithelial,2.9857583285775036e-05,0.0039623505435884,0.0,0.0,0.0,0.0,0.8304412364959717,A3GALT2,0.0,0.0,0.0,all,all
1,epithelial,0.15298108756542206,0.35797590017318726,0.0,0.0,0.0,0.0,2.765817880630493,A4GALT,0.0,0.0,0.0,all,all
2,epithelial,0.000816732703242451,0.023589465767145157,0.0,0.0,0.0,0.0,1.455155849456787,A4GNT,0.0,0.0,0.0,all,all
3,epithelial,0.08728338778018951,0.23218436539173126,0.0,0.0,0.0,0.0,2.127591848373413,ABO,0.0,0.0,0.0,all,all
4,epithelial,0.11440635472536087,0.25497034192085266,0.0,0.0,0.0,0.0,2.3326497077941895,AGA,0.0,0.0,0.0,all,all
5,epithelial,0.049439385533332825,0.16725288331508636,0.0,0.0,0.0,0.0,2.1590421199798584,ALG1,0.0,0.0,0.0,all,all
6,epithelial,0.015301870182156563,0.09756232798099518,0.0,0.0,0.0,0.0,1.8435845375061035,ALG10,0.0,0.0,0.0,all,all
7,epithelial,0.03309352695941925,0.15060698986053467,0.0,0.0,0.0,0.0,2.485334634780884,ALG10B,0.0,0.0,0.0,all,all
8,epithelial,0.03338349238038063,0.14950108528137207,0.0,0.0,0.0,0.0,2.2972922325134277,ALG11,0.0,0.0,0.0,all,all
9,epithelial,0.05742909386754036,0.1866639405488968,0.0,0.0,0.0,0.0,2.0703511238098145,ALG12,0.0,0.0,0.0,all,all
10,epithelial,0.19679319858551025,0.34492212533950806,0.0,0.0,0.0,0.32798534631729126,2.6647956371307373,ALG13,0.32798534631729126,0.8199633657932281,0.0,all,all
11,epithelial,0.09407694637775421,0.23818394541740417,0.0,0.0,0.0,0.0,2.58097505569458,ALG14,0.0,0.0,0.0,all,all
12,epithelial,0.024597950279712677,0.12806694209575653,0.0,0.0,0.0,0.0,2.233964443206787,ALG1L,0.0,0.0,0.0,all,all
13,epithelial,0.009652969427406788,0.08489228039979935,0.0,0.0,0.0,0.0,1.892337679862976,ALG1L2,0.0,0.0,0.0,all,all
14,epithelial,0.14634829759597778,0.2910010814666748,0.0,0.0,0.0,0.1842978149652481,2.4325435161590576,ALG2,0.1842978149652481,0.46074453741312027,0.0,all,all
15,epithelial,0.14912332594394684,0.29055023193359375,0.0,0.0,0.0,0.20988018810749054,2.253427028656006,ALG3,0.20988018810749054,0.5247004702687263,0.0,all,all
