,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
41,Small_Intestine,0.002229059347882867,0.044127535074949265,0.0,0.0,0.0,0.0,1.40650475025177,A4GALT,0.0,0.0,0.0,all,immune
42,Spleen,0.0022459104657173157,0.04663193225860596,0.0,0.0,0.0,0.0,2.112644672393799,A4GALT,0.0,0.0,0.0,all,immune
43,Thymus,0.0007776134880259633,0.027282537892460823,0.0,0.0,0.0,0.0,1.4811257123947144,A4GALT,0.0,0.0,0.0,all,immune
44,Tongue,0.0017612776719033718,0.03408074006438255,0.0,0.0,0.0,0.0,0.9768880605697632,A4GALT,0.0,0.0,0.0,all,immune
45,Trachea,0.0063970619812607765,0.07224114239215851,0.0,0.0,0.0,0.0,1.443677544593811,A4GALT,0.0,0.0,0.0,all,immune
46,Uterus,0.0030974671244621277,0.04549705237150192,0.0,0.0,0.0,0.0,1.0271445512771606,A4GALT,0.0,0.0,0.0,all,immune
47,Vasculature,0.0009735049679875374,0.028978684917092323,0.0,0.0,0.0,0.0,1.2681519985198975,A4GALT,0.0,0.0,0.0,all,immune
48,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
49,Blood,3.51483904523775e-05,0.004905514884740114,0.0,0.0,0.0,0.0,0.7751064300537109,A4GNT,0.0,0.0,0.0,all,immune
50,Bone_Marrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
51,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
52,Fat,3.48405446857214e-05,0.002821893198415637,0.0,0.0,0.0,0.0,0.22858881950378418,A4GNT,0.0,0.0,0.0,all,immune
53,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
54,Kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
55,Large_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
56,Liver,0.0002339881903026253,0.011520267464220524,0.0,0.0,0.0,0.0,0.5671873688697815,A4GNT,0.0,0.0,0.0,all,immune
57,Lung,0.004354709759354591,0.04680275171995163,0.0,0.0,0.0,0.0,1.3671056032180786,A4GNT,0.0,0.0,0.0,all,immune
58,Lymph_Node,3.232857125112787e-05,0.004923378583043814,0.0,0.0,0.0,0.0,1.0102981328964233,A4GNT,0.0,0.0,0.0,all,immune
59,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
