,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
37,Trachea,0.31999945640563965,0.4650597870349884,0.0,0.0,0.0,0.6533019244670868,2.1614179611206055,A4GALT,0.6533019244670868,1.633254811167717,0.0,all,stromal
38,Uterus,0.1451745182275772,0.3164164125919342,0.0,0.0,0.0,0.0,2.2459633350372314,A4GALT,0.0,0.0,0.0,all,stromal
39,Vasculature,0.3331364393234253,0.39793866872787476,0.0,0.0,0.20519714057445526,0.5892394036054611,2.1492741107940674,A4GALT,0.5892394036054611,1.4730985090136528,0.0,all,stromal
40,Bladder,4.489376078709029e-05,0.004112826660275459,0.0,0.0,0.0,0.0,0.3767933249473572,A4GNT,0.0,0.0,0.0,all,stromal
41,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
42,Fat,6.11557625234127e-05,0.0059160757809877396,0.0,0.0,0.0,0.0,0.5723567605018616,A4GNT,0.0,0.0,0.0,all,stromal
43,Heart,5.03099181514699e-05,0.004293493460863829,0.0,0.0,0.0,0.0,0.36645743250846863,A4GNT,0.0,0.0,0.0,all,stromal
44,Large_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
45,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
46,Lung,0.0012362092966213822,0.023198239505290985,0.0,0.0,0.0,0.0,0.46722298860549927,A4GNT,0.0,0.0,0.0,all,stromal
47,Lymph_Node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
48,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
49,Muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
50,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
51,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
52,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
53,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
54,Small_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
55,Thymus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
56,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
57,Trachea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
58,Uterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,stromal
59,Vasculature,4.675623858929612e-05,0.004638431593775749,0.0,0.0,0.0,0.0,0.46017488837242126,A4GNT,0.0,0.0,0.0,all,stromal
60,Bladder,0.003590767038986087,0.05238093063235283,0.0,0.0,0.0,0.0,1.603068470954895,ABO,0.0,0.0,0.0,all,stromal
61,Eye,0.021764203906059265,0.09459090232849121,0.0,0.0,0.0,0.0,1.0140893459320068,ABO,0.0,0.0,0.0,all,stromal
62,Fat,0.008558053523302078,0.08302963525056839,0.0,0.0,0.0,0.0,1.6059271097183228,ABO,0.0,0.0,0.0,all,stromal
63,Heart,0.005107168573886156,0.0787181481719017,0.0,0.0,0.0,0.0,1.950380563735962,ABO,0.0,0.0,0.0,all,stromal
64,Large_Intestine,0.006506315898150206,0.07812377065420151,0.0,0.0,0.0,0.0,1.3984156847000122,ABO,0.0,0.0,0.0,all,stromal
65,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABO,0.0,0.0,0.0,all,stromal
66,Lung,0.016476865857839584,0.13437329232692719,0.0,0.0,0.0,0.0,1.3388155698776245,ABO,0.0,0.0,0.0,all,stromal
67,Lymph_Node,0.024985196068882942,0.17587868869304657,0.0,0.0,0.0,0.0,1.6854056119918823,ABO,0.0,0.0,0.0,all,stromal
68,Mammary,0.007526057306677103,0.08373565971851349,0.0,0.0,0.0,0.0,1.3067004680633545,ABO,0.0,0.0,0.0,all,stromal
69,Muscle,0.010704928077757359,0.09103262424468994,0.0,0.0,0.0,0.0,1.6155458688735962,ABO,0.0,0.0,0.0,all,stromal
70,Pancreas,0.02655339241027832,0.15679368376731873,0.0,0.0,0.0,0.0,1.940869927406311,ABO,0.0,0.0,0.0,all,stromal
71,Prostate,0.012786024250090122,0.0836910679936409,0.0,0.0,0.0,0.0,1.0491726398468018,ABO,0.0,0.0,0.0,all,stromal
72,Salivary_Gland,0.0213247612118721,0.12191348522901535,0.0,0.0,0.0,0.0,1.434597134590149,ABO,0.0,0.0,0.0,all,stromal
73,Skin,0.0009467095951549709,0.025674568489193916,0.0,0.0,0.0,0.0,0.8547573089599609,ABO,0.0,0.0,0.0,all,stromal
74,Small_Intestine,0.020812364295125008,0.13618135452270508,0.0,0.0,0.0,0.0,1.2138153314590454,ABO,0.0,0.0,0.0,all,stromal
75,Thymus,0.01859312132000923,0.12992067635059357,0.0,0.0,0.0,0.0,1.502213478088379,ABO,0.0,0.0,0.0,all,stromal
76,Tongue,0.031859636306762695,0.1872297078371048,0.0,0.0,0.0,0.0,1.4280544519424438,ABO,0.0,0.0,0.0,all,stromal
77,Trachea,0.0057097203098237514,0.06669102609157562,0.0,0.0,0.0,0.0,1.3062095642089844,ABO,0.0,0.0,0.0,all,stromal
78,Uterus,0.0013004433130845428,0.030023202300071716,0.0,0.0,0.0,0.0,1.1639764308929443,ABO,0.0,0.0,0.0,all,stromal
79,Vasculature,0.007188453339040279,0.0621340349316597,0.0,0.0,0.0,0.0,1.1366791725158691,ABO,0.0,0.0,0.0,all,stromal
80,Bladder,0.07382083684206009,0.225670725107193,0.0,0.0,0.0,0.0,1.9239498376846313,AGA,0.0,0.0,0.0,all,stromal
81,Eye,0.12206430733203888,0.3327905833721161,0.0,0.0,0.0,0.0,3.0715878009796143,AGA,0.0,0.0,0.0,all,stromal
82,Fat,0.06411021202802658,0.20164020359516144,0.0,0.0,0.0,0.0,1.6738680601119995,AGA,0.0,0.0,0.0,all,stromal
83,Heart,0.02275875397026539,0.11492352187633514,0.0,0.0,0.0,0.0,1.57150399684906,AGA,0.0,0.0,0.0,all,stromal
84,Large_Intestine,0.04295847937464714,0.20281264185905457,0.0,0.0,0.0,0.0,1.5803256034851074,AGA,0.0,0.0,0.0,all,stromal
85,Liver,0.0632489025592804,0.1929084211587906,0.0,0.0,0.0,0.0,0.9393666386604309,AGA,0.0,0.0,0.0,all,stromal
86,Lung,0.07863052934408188,0.28099700808525085,0.0,0.0,0.0,0.0,1.9697705507278442,AGA,0.0,0.0,0.0,all,stromal
87,Lymph_Node,0.07873281091451645,0.21296782791614532,0.0,0.0,0.0,0.0,0.9084431529045105,AGA,0.0,0.0,0.0,all,stromal
88,Mammary,0.032257530838251114,0.1644802838563919,0.0,0.0,0.0,0.0,1.464800477027893,AGA,0.0,0.0,0.0,all,stromal
89,Muscle,0.04127302020788193,0.1753440797328949,0.0,0.0,0.0,0.0,1.753238558769226,AGA,0.0,0.0,0.0,all,stromal
90,Pancreas,0.09426543116569519,0.2549035847187042,0.0,0.0,0.0,0.0,1.4569213390350342,AGA,0.0,0.0,0.0,all,stromal
