,tissue_in_publication,cell_type,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,compartment
0,Bladder,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
1,Bladder,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
2,Bladder,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
3,Eye,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
4,Eye,retinal blood vessel endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
5,Fat,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
6,Heart,cardiac endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
7,Kidney,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
8,Large_Intestine,gut endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
9,Liver,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
10,Liver,endothelial cell of hepatic sinusoid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
11,Lung,blood vessel endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
12,Lung,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
13,Lung,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
14,Lung,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
15,Lung,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
16,Lung,lung microvascular endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
17,Lymph_Node,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
18,Mammary,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
19,Mammary,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
20,Mammary,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
21,Muscle,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
22,Muscle,endothelial cell of vascular tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
23,Muscle,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
24,Muscle,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
25,Pancreas,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
26,Prostate,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
27,Salivary_Gland,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
28,Salivary_Gland,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
29,Skin,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
30,Small_Intestine,gut endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
31,Spleen,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
32,Thymus,endothelial cell of lymphatic vessel,0.0036923836451023817,0.06067214161157608,0.0,0.0,0.0,0.0,0.9969435930252075,A3GALT2,0.0,0.0,0.0,endothelial
33,Thymus,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
34,Thymus,vein endothelial cell,0.0011044035200029612,0.02949756197631359,0.0,0.0,0.0,0.0,0.9568920731544495,A3GALT2,0.0,0.0,0.0,endothelial
35,Thymus,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
36,Tongue,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
37,Tongue,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
38,Tongue,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
39,Tongue,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
40,Trachea,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
41,Uterus,endothelial cell,0.0005592616507783532,0.025371309369802475,0.0,0.0,0.0,0.0,1.1509604454040527,A3GALT2,0.0,0.0,0.0,endothelial
42,Uterus,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
43,Vasculature,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
44,Vasculature,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
45,Vasculature,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
46,Bladder,endothelial cell of lymphatic vessel,0.3532409965991974,0.4478573203086853,0.0,0.0,0.0,0.637489452958107,1.6253048181533813,A4GALT,0.637489452958107,1.5937236323952675,0.0,endothelial
47,Bladder,capillary endothelial cell,0.42599979043006897,0.45623794198036194,0.0,0.0,0.3232077807188034,0.7739320546388626,2.0216712951660156,A4GALT,0.7739320546388626,1.9348301365971565,0.0,endothelial
48,Bladder,vein endothelial cell,0.42040345072746277,0.45810917019844055,0.0,0.0,0.33676964044570923,0.7427782416343689,1.671233057975769,A4GALT,0.7427782416343689,1.671233057975769,0.0,endothelial
49,Eye,endothelial cell,0.2341233491897583,0.4145413935184479,0.0,0.0,0.0,0.4416344165802002,1.5849353075027466,A4GALT,0.4416344165802002,1.1040860414505005,0.0,endothelial
50,Eye,retinal blood vessel endothelial cell,0.37005195021629333,0.42738986015319824,0.0,0.0,0.19317655265331268,0.6558077335357666,1.7635748386383057,A4GALT,0.6558077335357666,1.6395193338394165,0.0,endothelial
51,Fat,endothelial cell,0.2584616243839264,0.4063681364059448,0.0,0.0,0.0,0.4867132306098938,2.151620864868164,A4GALT,0.4867132306098938,1.2167830765247345,0.0,endothelial
52,Heart,cardiac endothelial cell,0.25850000977516174,0.49815794825553894,0.0,0.0,0.0,0.0,2.1647109985351562,A4GALT,0.0,0.0,0.0,endothelial
53,Kidney,endothelial cell,0.1409892588853836,0.2849660813808441,0.0,0.0,0.0,0.0,1.192773699760437,A4GALT,0.0,0.0,0.0,endothelial
54,Large_Intestine,gut endothelial cell,0.21264469623565674,0.4570375382900238,0.0,0.0,0.0,0.0,1.4491405487060547,A4GALT,0.0,0.0,0.0,endothelial
55,Liver,endothelial cell,0.0038405281957238913,0.06275499612092972,0.0,0.0,0.0,0.0,1.0254210233688354,A4GALT,0.0,0.0,0.0,endothelial
56,Liver,endothelial cell of hepatic sinusoid,0.12818963825702667,0.3521570861339569,0.0,0.0,0.0,0.0,1.7669869661331177,A4GALT,0.0,0.0,0.0,endothelial
57,Lung,blood vessel endothelial cell,0.3059457838535309,0.40007713437080383,0.0,0.0,0.0,0.6532955765724182,1.2923434972763062,A4GALT,0.6532955765724182,1.2923434972763062,0.0,endothelial
58,Lung,endothelial cell of lymphatic vessel,0.2958395481109619,0.5786945223808289,0.0,0.0,0.0,0.0,1.909361481666565,A4GALT,0.0,0.0,0.0,endothelial
59,Lung,capillary endothelial cell,0.1160663366317749,0.3802872896194458,0.0,0.0,0.0,0.0,2.118739604949951,A4GALT,0.0,0.0,0.0,endothelial
60,Lung,vein endothelial cell,0.2854451537132263,0.5021675825119019,0.0,0.0,0.0,0.643924668431282,2.077751636505127,A4GALT,0.643924668431282,1.609811671078205,0.0,endothelial
61,Lung,endothelial cell of artery,0.23416587710380554,0.49227622151374817,0.0,0.0,0.0,0.0,1.8150508403778076,A4GALT,0.0,0.0,0.0,endothelial
62,Lung,lung microvascular endothelial cell,0.3304489552974701,0.5271148681640625,0.0,0.0,0.0,0.7982029318809509,1.8772590160369873,A4GALT,0.7982029318809509,1.8772590160369873,0.0,endothelial
63,Lymph_Node,endothelial cell,0.4385966360569,0.5919671654701233,0.0,0.0,0.0,0.8413565158843994,1.9899441003799438,A4GALT,0.8413565158843994,1.9899441003799438,0.0,endothelial
64,Mammary,endothelial cell of lymphatic vessel,0.7451503276824951,0.8255004286766052,0.0,0.0,0.3606715202331543,1.5108859241008759,2.1574621200561523,A4GALT,1.5108859241008759,2.1574621200561523,0.0,endothelial
65,Mammary,vein endothelial cell,0.5681551098823547,0.5378122329711914,0.0,0.0,0.5986382365226746,0.9618082642555237,1.975929856300354,A4GALT,0.9618082642555237,1.975929856300354,0.0,endothelial
66,Mammary,endothelial cell of artery,0.48380225896835327,0.6062740087509155,0.0,0.0,0.0,0.9280938059091568,2.448486804962158,A4GALT,0.9280938059091568,2.320234514772892,0.0,endothelial
67,Muscle,endothelial cell of lymphatic vessel,0.4031752943992615,0.5847655534744263,0.0,0.0,0.0,0.8662845939397812,2.0162909030914307,A4GALT,0.8662845939397812,2.0162909030914307,0.0,endothelial
68,Muscle,endothelial cell of vascular tree,0.3001812994480133,0.4677135646343231,0.0,0.0,0.0,0.6994323432445526,2.0927674770355225,A4GALT,0.6994323432445526,1.7485808581113815,0.0,endothelial
69,Muscle,capillary endothelial cell,0.16466261446475983,0.39132899045944214,0.0,0.0,0.0,0.0,1.983700156211853,A4GALT,0.0,0.0,0.0,endothelial
70,Muscle,endothelial cell of artery,0.15282177925109863,0.34836259484291077,0.0,0.0,0.0,0.0,1.91909658908844,A4GALT,0.0,0.0,0.0,endothelial
71,Pancreas,endothelial cell,0.585845410823822,0.6142858862876892,0.0,0.0,0.5967426896095276,1.0747923851013184,3.0540964603424072,A4GALT,1.0747923851013184,2.686980962753296,0.0,endothelial
72,Prostate,endothelial cell,0.2949296832084656,0.4840414822101593,0.0,0.0,0.0,0.680937334895134,2.0179858207702637,A4GALT,0.680937334895134,1.702343337237835,0.0,endothelial
73,Salivary_Gland,endothelial cell,0.23616406321525574,0.4109445810317993,0.0,0.0,0.0,0.4449942111968994,1.63504159450531,A4GALT,0.4449942111968994,1.1124855279922485,0.0,endothelial
74,Salivary_Gland,endothelial cell of lymphatic vessel,0.2688350975513458,0.4262252449989319,0.0,0.0,0.0,0.5746882408857346,1.9031037092208862,A4GALT,0.5746882408857346,1.4367206022143364,0.0,endothelial
75,Skin,endothelial cell,0.8170228004455566,0.5872591733932495,0.0,0.3089544102549553,0.8702167570590973,1.2616618871688843,2.5779707431793213,A4GALT,0.952707476913929,2.5779707431793213,0.0,endothelial
76,Small_Intestine,gut endothelial cell,0.3787938952445984,0.5961675643920898,0.0,0.0,0.0,0.904695451259613,1.8986657857894897,A4GALT,0.904695451259613,1.8986657857894897,0.0,endothelial
77,Spleen,endothelial cell,0.23761996626853943,0.3965744376182556,0.0,0.0,0.0,0.46861670911312103,1.878432035446167,A4GALT,0.46861670911312103,1.1715417727828026,0.0,endothelial
78,Thymus,endothelial cell of lymphatic vessel,0.680190920829773,0.6499669551849365,0.0,0.0,0.701772004365921,1.1765159964561462,2.4560532569885254,A4GALT,1.1765159964561462,2.4560532569885254,0.0,endothelial
79,Thymus,capillary endothelial cell,0.2176312655210495,0.4589141309261322,0.0,0.0,0.0,0.0,2.095263719558716,A4GALT,0.0,0.0,0.0,endothelial
80,Thymus,vein endothelial cell,0.40498945116996765,0.4951765835285187,0.0,0.0,0.0,0.7934457957744598,2.473977565765381,A4GALT,0.7934457957744598,1.9836144894361496,0.0,endothelial
81,Thymus,endothelial cell of artery,0.2962952256202698,0.46516332030296326,0.0,0.0,0.0,0.6364407688379288,1.7940547466278076,A4GALT,0.6364407688379288,1.591101922094822,0.0,endothelial
82,Tongue,endothelial cell of lymphatic vessel,0.42948779463768005,0.5375717282295227,0.0,0.0,0.0,0.9945845305919647,1.4285367727279663,A4GALT,0.9945845305919647,1.4285367727279663,0.0,endothelial
83,Tongue,capillary endothelial cell,0.3688153028488159,0.5569016933441162,0.0,0.0,0.0,0.7371813803911209,1.9105867147445679,A4GALT,0.7371813803911209,1.8429534509778023,0.0,endothelial
84,Tongue,vein endothelial cell,0.3932037651538849,0.4999556839466095,0.0,0.0,0.0,0.8685736060142517,1.7048299312591553,A4GALT,0.8685736060142517,1.7048299312591553,0.0,endothelial
85,Tongue,endothelial cell of artery,0.32669737935066223,0.4596869945526123,0.0,0.0,0.0,0.6319817900657654,1.3996796607971191,A4GALT,0.6319817900657654,1.3996796607971191,0.0,endothelial
86,Trachea,endothelial cell,0.415535569190979,0.5103652477264404,0.0,0.0,0.0,0.8066715598106384,2.332369804382324,A4GALT,0.8066715598106384,2.016678899526596,0.0,endothelial
87,Uterus,endothelial cell,0.7375629544258118,0.6036932468414307,0.0,0.0,0.7894705832004547,1.1884523332118988,2.551880359649658,A4GALT,1.1884523332118988,2.551880359649658,0.0,endothelial
88,Uterus,endothelial cell of lymphatic vessel,0.45789453387260437,0.3778591752052307,0.0,0.0,0.50370192527771,0.7127048075199127,1.52228581905365,A4GALT,0.7127048075199127,1.52228581905365,0.0,endothelial
89,Vasculature,endothelial cell,0.4367649257183075,0.514308512210846,0.0,0.0,0.0,0.8239786773920059,2.267528772354126,A4GALT,0.8239786773920059,2.059946693480015,0.0,endothelial
90,Vasculature,endothelial cell of lymphatic vessel,0.5420434474945068,0.5354897975921631,0.0,0.0,0.4911784380674362,0.8781055808067322,1.8071317672729492,A4GALT,0.8781055808067322,1.8071317672729492,0.0,endothelial
91,Vasculature,endothelial cell of artery,0.3365991711616516,0.445537805557251,0.0,0.0,0.0,0.6987705379724503,1.5849353075027466,A4GALT,0.6987705379724503,1.5849353075027466,0.0,endothelial
92,Bladder,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
93,Bladder,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
94,Bladder,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
95,Eye,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
96,Eye,retinal blood vessel endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
97,Fat,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
98,Heart,cardiac endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
99,Kidney,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
100,Large_Intestine,gut endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
101,Liver,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
102,Liver,endothelial cell of hepatic sinusoid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
103,Lung,blood vessel endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
104,Lung,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
105,Lung,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
106,Lung,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
107,Lung,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
108,Lung,lung microvascular endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
109,Lymph_Node,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
110,Mammary,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
111,Mammary,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
112,Mammary,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
113,Muscle,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
114,Muscle,endothelial cell of vascular tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
115,Muscle,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
116,Muscle,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
117,Pancreas,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
118,Prostate,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
119,Salivary_Gland,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
120,Salivary_Gland,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
121,Skin,endothelial cell,0.0004915465251542628,0.016842149198055267,0.0,0.0,0.0,0.0,0.5770756006240845,A4GNT,0.0,0.0,0.0,endothelial
122,Small_Intestine,gut endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
123,Spleen,endothelial cell,0.002282267902046442,0.05453621968626976,0.0,0.0,0.0,0.0,1.3031749725341797,A4GNT,0.0,0.0,0.0,endothelial
124,Thymus,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
125,Thymus,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
126,Thymus,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
127,Thymus,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
128,Tongue,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
129,Tongue,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
130,Tongue,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
131,Tongue,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
132,Trachea,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
133,Uterus,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
134,Uterus,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
135,Vasculature,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
136,Vasculature,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
137,Vasculature,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,endothelial
138,Bladder,endothelial cell of lymphatic vessel,0.1657983362674713,0.3173803389072418,0.0,0.0,0.0,0.1434817686676979,1.1118520498275757,ABO,0.1434817686676979,0.35870442166924477,0.0,endothelial
139,Bladder,capillary endothelial cell,0.09427426010370255,0.20241473615169525,0.0,0.0,0.0,0.0,0.9874395132064819,ABO,0.0,0.0,0.0,endothelial
140,Bladder,vein endothelial cell,0.0638650581240654,0.20298020541667938,0.0,0.0,0.0,0.0,1.3307722806930542,ABO,0.0,0.0,0.0,endothelial
141,Eye,endothelial cell,0.009142122231423855,0.0647035464644432,0.0,0.0,0.0,0.0,0.48173975944519043,ABO,0.0,0.0,0.0,endothelial
142,Eye,retinal blood vessel endothelial cell,0.10499678552150726,0.26696333289146423,0.0,0.0,0.0,0.0,1.4642891883850098,ABO,0.0,0.0,0.0,endothelial
143,Fat,endothelial cell,0.08537387102842331,0.25400954484939575,0.0,0.0,0.0,0.0,2.1094555854797363,ABO,0.0,0.0,0.0,endothelial
144,Heart,cardiac endothelial cell,0.09092669934034348,0.31852224469184875,0.0,0.0,0.0,0.0,2.1062796115875244,ABO,0.0,0.0,0.0,endothelial
145,Kidney,endothelial cell,0.0831802636384964,0.22823883593082428,0.0,0.0,0.0,0.0,0.9220592975616455,ABO,0.0,0.0,0.0,endothelial
146,Large_Intestine,gut endothelial cell,0.03431931510567665,0.17739251255989075,0.0,0.0,0.0,0.0,1.0586683750152588,ABO,0.0,0.0,0.0,endothelial
147,Liver,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABO,0.0,0.0,0.0,endothelial
148,Liver,endothelial cell of hepatic sinusoid,0.02287653274834156,0.15282656252384186,0.0,0.0,0.0,0.0,1.4556597471237183,ABO,0.0,0.0,0.0,endothelial
149,Lung,blood vessel endothelial cell,0.04945889487862587,0.1419820338487625,0.0,0.0,0.0,0.0,0.6581564545631409,ABO,0.0,0.0,0.0,endothelial
150,Lung,endothelial cell of lymphatic vessel,0.04109140485525131,0.2465483844280243,0.0,0.0,0.0,0.0,1.4792906045913696,ABO,0.0,0.0,0.0,endothelial
151,Lung,capillary endothelial cell,0.02178685925900936,0.17039386928081512,0.0,0.0,0.0,0.0,2.0470943450927734,ABO,0.0,0.0,0.0,endothelial
152,Lung,vein endothelial cell,0.051152680069208145,0.23288290202617645,0.0,0.0,0.0,0.0,1.504933476448059,ABO,0.0,0.0,0.0,endothelial
153,Lung,endothelial cell of artery,0.028623566031455994,0.18513643741607666,0.0,0.0,0.0,0.0,1.4109416007995605,ABO,0.0,0.0,0.0,endothelial
154,Lung,lung microvascular endothelial cell,0.06022029370069504,0.24869109690189362,0.0,0.0,0.0,0.0,1.5877166986465454,ABO,0.0,0.0,0.0,endothelial
155,Lymph_Node,endothelial cell,0.053335677832365036,0.2265416532754898,0.0,0.0,0.0,0.0,1.331592082977295,ABO,0.0,0.0,0.0,endothelial
156,Mammary,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABO,0.0,0.0,0.0,endothelial
157,Mammary,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABO,0.0,0.0,0.0,endothelial
158,Mammary,endothelial cell of artery,0.013976921327412128,0.08710374683141708,0.0,0.0,0.0,0.0,0.5960832238197327,ABO,0.0,0.0,0.0,endothelial
159,Muscle,endothelial cell of lymphatic vessel,0.07952330261468887,0.29473671317100525,0.0,0.0,0.0,0.0,1.5860155820846558,ABO,0.0,0.0,0.0,endothelial
160,Muscle,endothelial cell of vascular tree,0.045805640518665314,0.19066347181797028,0.0,0.0,0.0,0.0,1.4873254299163818,ABO,0.0,0.0,0.0,endothelial
161,Muscle,capillary endothelial cell,0.04039248451590538,0.20311196148395538,0.0,0.0,0.0,0.0,2.0017569065093994,ABO,0.0,0.0,0.0,endothelial
162,Muscle,endothelial cell of artery,0.072438083589077,0.23046579957008362,0.0,0.0,0.0,0.0,1.103704810142517,ABO,0.0,0.0,0.0,endothelial
163,Pancreas,endothelial cell,0.06853973120450974,0.24517253041267395,0.0,0.0,0.0,0.0,1.8391209840774536,ABO,0.0,0.0,0.0,endothelial
164,Prostate,endothelial cell,0.09359876066446304,0.28251373767852783,0.0,0.0,0.0,0.0,1.455155849456787,ABO,0.0,0.0,0.0,endothelial
165,Salivary_Gland,endothelial cell,0.07358508557081223,0.24462120234966278,0.0,0.0,0.0,0.0,1.4483927488327026,ABO,0.0,0.0,0.0,endothelial
166,Salivary_Gland,endothelial cell of lymphatic vessel,0.07623006403446198,0.24613119661808014,0.0,0.0,0.0,0.0,2.154311418533325,ABO,0.0,0.0,0.0,endothelial
167,Skin,endothelial cell,0.012988011352717876,0.10211499035358429,0.0,0.0,0.0,0.0,1.5302332639694214,ABO,0.0,0.0,0.0,endothelial
168,Small_Intestine,gut endothelial cell,0.041385602205991745,0.20162250101566315,0.0,0.0,0.0,0.0,1.1980785131454468,ABO,0.0,0.0,0.0,endothelial
169,Spleen,endothelial cell,0.09371934831142426,0.2718363106250763,0.0,0.0,0.0,0.0,1.5593793392181396,ABO,0.0,0.0,0.0,endothelial
170,Thymus,endothelial cell of lymphatic vessel,0.08875295519828796,0.2778726816177368,0.0,0.0,0.0,0.0,1.4431833028793335,ABO,0.0,0.0,0.0,endothelial
171,Thymus,capillary endothelial cell,0.08734045177698135,0.31376487016677856,0.0,0.0,0.0,0.0,2.131509780883789,ABO,0.0,0.0,0.0,endothelial
172,Thymus,vein endothelial cell,0.0721098929643631,0.23578667640686035,0.0,0.0,0.0,0.0,1.8594266176223755,ABO,0.0,0.0,0.0,endothelial
173,Thymus,endothelial cell of artery,0.17403514683246613,0.369518905878067,0.0,0.0,0.0,0.0,1.8981832265853882,ABO,0.0,0.0,0.0,endothelial
174,Tongue,endothelial cell of lymphatic vessel,0.23374585807323456,0.4251616299152374,0.0,0.0,0.0,0.2795403003692627,1.4034875631332397,ABO,0.2795403003692627,0.6988507509231567,0.0,endothelial
175,Tongue,capillary endothelial cell,0.08055326342582703,0.2767638564109802,0.0,0.0,0.0,0.0,1.4426894187927246,ABO,0.0,0.0,0.0,endothelial
