,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
37,Small_Intestine,0.3787938952445984,0.5961675643920898,0.0,0.0,0.0,0.904695451259613,1.8986657857894897,A4GALT,0.904695451259613,1.8986657857894897,0.0,all,endothelial
38,Spleen,0.23761996626853943,0.3965744376182556,0.0,0.0,0.0,0.46861670911312103,1.878432035446167,A4GALT,0.46861670911312103,1.1715417727828026,0.0,all,endothelial
39,Thymus,0.3521912693977356,0.5069670677185059,0.0,0.0,0.0,0.7366137802600861,2.473977565765381,A4GALT,0.7366137802600861,1.8415344506502151,0.0,all,endothelial
40,Tongue,0.3845011293888092,0.51392662525177,0.0,0.0,0.0,0.8412228226661682,1.9105867147445679,A4GALT,0.8412228226661682,1.9105867147445679,0.0,all,endothelial
41,Trachea,0.415535569190979,0.5103652477264404,0.0,0.0,0.0,0.8066715598106384,2.332369804382324,A4GALT,0.8066715598106384,2.016678899526596,0.0,all,endothelial
42,Uterus,0.7267211675643921,0.5989145636558533,0.0,0.0,0.7689383029937744,1.1715291738510132,2.551880359649658,A4GALT,1.1715291738510132,2.551880359649658,0.0,all,endothelial
43,Vasculature,0.43050408363342285,0.5097805261611938,0.0,0.0,0.0,0.8199415802955627,2.267528772354126,A4GALT,0.8199415802955627,2.049853950738907,0.0,all,endothelial
44,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
45,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
46,Fat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
47,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
48,Kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
49,Large_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
50,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
51,Lung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
52,Lymph_Node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
53,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
54,Muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
55,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
56,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
57,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
58,Skin,0.0004915465251542628,0.016842149198055267,0.0,0.0,0.0,0.0,0.5770756006240845,A4GNT,0.0,0.0,0.0,all,endothelial
59,Small_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
60,Spleen,0.002282267902046442,0.05453621968626976,0.0,0.0,0.0,0.0,1.3031749725341797,A4GNT,0.0,0.0,0.0,all,endothelial
61,Thymus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
62,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
63,Trachea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
64,Uterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
65,Vasculature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,endothelial
66,Bladder,0.08618656545877457,0.22612670063972473,0.0,0.0,0.0,0.0,1.3307722806930542,ABO,0.0,0.0,0.0,all,endothelial
67,Eye,0.08789198100566864,0.24620988965034485,0.0,0.0,0.0,0.0,1.4642891883850098,ABO,0.0,0.0,0.0,all,endothelial
68,Fat,0.08537387102842331,0.25400954484939575,0.0,0.0,0.0,0.0,2.1094555854797363,ABO,0.0,0.0,0.0,all,endothelial
69,Heart,0.09092669934034348,0.31852224469184875,0.0,0.0,0.0,0.0,2.1062796115875244,ABO,0.0,0.0,0.0,all,endothelial
70,Kidney,0.0831802636384964,0.22823883593082428,0.0,0.0,0.0,0.0,0.9220592975616455,ABO,0.0,0.0,0.0,all,endothelial
71,Large_Intestine,0.03431931510567665,0.17739251255989075,0.0,0.0,0.0,0.0,1.0586683750152588,ABO,0.0,0.0,0.0,all,endothelial
72,Liver,0.013854325748980045,0.11939901113510132,0.0,0.0,0.0,0.0,1.4556597471237183,ABO,0.0,0.0,0.0,all,endothelial
73,Lung,0.035599421709775925,0.2015305906534195,0.0,0.0,0.0,0.0,2.0470943450927734,ABO,0.0,0.0,0.0,all,endothelial
74,Lymph_Node,0.053335677832365036,0.2265416532754898,0.0,0.0,0.0,0.0,1.331592082977295,ABO,0.0,0.0,0.0,all,endothelial
75,Mammary,0.005018985364586115,0.05252073332667351,0.0,0.0,0.0,0.0,0.5960832238197327,ABO,0.0,0.0,0.0,all,endothelial
76,Muscle,0.045188870280981064,0.1981007158756256,0.0,0.0,0.0,0.0,2.0017569065093994,ABO,0.0,0.0,0.0,all,endothelial
77,Pancreas,0.06853973120450974,0.24517253041267395,0.0,0.0,0.0,0.0,1.8391209840774536,ABO,0.0,0.0,0.0,all,endothelial
78,Prostate,0.09359876066446304,0.28251373767852783,0.0,0.0,0.0,0.0,1.455155849456787,ABO,0.0,0.0,0.0,all,endothelial
79,Salivary_Gland,0.07490140199661255,0.24518585205078125,0.0,0.0,0.0,0.0,2.154311418533325,ABO,0.0,0.0,0.0,all,endothelial
80,Skin,0.012988011352717876,0.10211499035358429,0.0,0.0,0.0,0.0,1.5302332639694214,ABO,0.0,0.0,0.0,all,endothelial
81,Small_Intestine,0.041385602205991745,0.20162250101566315,0.0,0.0,0.0,0.0,1.1980785131454468,ABO,0.0,0.0,0.0,all,endothelial
82,Spleen,0.09371934831142426,0.2718363106250763,0.0,0.0,0.0,0.0,1.5593793392181396,ABO,0.0,0.0,0.0,all,endothelial
83,Thymus,0.09131740778684616,0.2859332859516144,0.0,0.0,0.0,0.0,2.131509780883789,ABO,0.0,0.0,0.0,all,endothelial
84,Tongue,0.08813156932592392,0.26502665877342224,0.0,0.0,0.0,0.0,1.4426894187927246,ABO,0.0,0.0,0.0,all,endothelial
85,Trachea,0.09662671387195587,0.29266759753227234,0.0,0.0,0.0,0.0,1.4341100454330444,ABO,0.0,0.0,0.0,all,endothelial
86,Uterus,0.005157120991498232,0.06440072506666183,0.0,0.0,0.0,0.0,1.3603894710540771,ABO,0.0,0.0,0.0,all,endothelial
87,Vasculature,0.09523704648017883,0.26646143198013306,0.0,0.0,0.0,0.0,1.6520432233810425,ABO,0.0,0.0,0.0,all,endothelial
88,Bladder,0.09946049004793167,0.25655683875083923,0.0,0.0,0.0,0.0,1.6418918371200562,AGA,0.0,0.0,0.0,all,endothelial
