,compartment,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,tissue_in_publication
37,endothelial,0.0014868039870634675,0.03715379908680916,0.0,0.0,0.0,0.0,1.525712013244629,B3GNT4,0.0,0.0,0.0,all,all
38,endothelial,0.2413266897201538,0.5033949017524719,0.0,0.0,0.0,0.0,3.8124241828918457,B3GNT5,0.0,0.0,0.0,all,all
39,endothelial,0.001649033511057496,0.03840327262878418,0.0,0.0,0.0,0.0,1.511234164237976,B3GNT6,0.0,0.0,0.0,all,all
40,endothelial,0.006595336366444826,0.07722888141870499,0.0,0.0,0.0,0.0,2.169962167739868,B3GNT7,0.0,0.0,0.0,all,all
41,endothelial,0.013472401537001133,0.1137886494398117,0.0,0.0,0.0,0.0,2.1603989601135254,B3GNT8,0.0,0.0,0.0,all,all
42,endothelial,0.0018216926837339997,0.038343172520399094,0.0,0.0,0.0,0.0,1.697868824005127,B4GALNT1,0.0,0.0,0.0,all,all
43,endothelial,0.0005362404626794159,0.021261245012283325,0.0,0.0,0.0,0.0,1.3067004680633545,B4GALNT2,0.0,0.0,0.0,all,all
44,endothelial,0.0005974445375613868,0.02301287092268467,0.0,0.0,0.0,0.0,1.4227744340896606,B4GALNT3,0.0,0.0,0.0,all,all
45,endothelial,0.0008662373293191195,0.028236018493771553,0.0,0.0,0.0,0.0,1.7081518173217773,B4GALNT4,0.0,0.0,0.0,all,all
46,endothelial,0.45681026577949524,0.5806077122688293,0.0,0.0,0.0,0.9094753265380859,3.274379014968872,B4GALT1,0.9094753265380859,2.273688316345215,0.0,all,all
47,endothelial,0.07914514094591141,0.24937564134597778,0.0,0.0,0.0,0.0,2.068235158920288,B4GALT2,0.0,0.0,0.0,all,all
48,endothelial,0.14101748168468475,0.3427312970161438,0.0,0.0,0.0,0.0,3.1125807762145996,B4GALT3,0.0,0.0,0.0,all,all
49,endothelial,0.053840119391679764,0.21560709178447723,0.0,0.0,0.0,0.0,2.262115478515625,B4GALT4,0.0,0.0,0.0,all,all
50,endothelial,0.4527204930782318,0.5793749094009399,0.0,0.0,0.0,0.9047189354896545,2.8705010414123535,B4GALT5,0.9047189354896545,2.2617973387241364,0.0,all,all
